Date,Open,High,Low,Close,Volume 
2015-05-23,240.37,241.73,238.05,238.94,36028
2015-05-24,238.94,242.39,237.48,240.98,30256
2015-05-25,240.98,241.79,235.81,237.41,26385
2015-05-26,237.41,238.99,235.58,237.84,37077
2015-05-27,237.84,238.95,235.89,237.29,48026
2015-05-28,237.29,238.41,236.23,237.32,35748
2015-05-29,237.32,237.89,235.13,237.03,38923
2015-05-30,237.03,237.06,231.59,233.22,41630
2015-05-31,233.22,233.99,229.13,229.84,38997
2015-06-01,229.84,231.76,220.97,223.14,87057
2015-06-02,223.14,227.44,222.25,225.74,60804
2015-06-03,225.74,227.86,223.69,225.59,54353
2015-06-04,225.59,226.71,223.49,224.22,44055
2015-06-05,224.22,226.36,222.15,225.29,56455
2015-06-06,225.29,225.76,223.53,224.74,22467
2015-06-07,224.74,226.36,222.21,223.47,40481
2015-06-08,223.47,229.91,222.99,228.57,74152
2015-06-09,228.57,231.36,227.51,229.56,54837
2015-06-10,229.56,230.44,227.84,228.79,41639
2015-06-11,228.79,230.64,228.54,229.88,38004
2015-06-12,229.88,231.58,229.29,230.46,40744
2015-06-13,230.46,233.14,229.01,232.48,38008
2015-06-14,232.48,235.51,232.09,233.75,32894
2015-06-15,233.75,238.55,233.29,237,63467
2015-06-16,237,254.15,235.7,249.82,122473
2015-06-17,249.82,258.48,245.09,247.38,121617
2015-06-18,247.38,251.95,242.46,248.44,78135
2015-06-19,248.44,250.81,243.65,244.13,84699
2015-06-20,244.13,246.63,238.7,244.98,51281
2015-06-21,244.98,246.03,240.94,244.1,25152
2015-06-22,244.1,248.6,243.16,247.46,47587
2015-06-23,247.46,247.67,242.32,243.76,38427
2015-06-24,243.76,244.51,239.05,240.56,47109
2015-06-25,240.56,243.65,239.32,242.56,40360
2015-06-26,242.56,243.49,240.14,242.95,37617
2015-06-27,242.95,251.57,241.83,250.73,54700
2015-06-28,250.73,251.59,246.62,248.88,39892
2015-06-29,248.88,257.54,247.96,256.97,92643
2015-06-30,256.97,268.73,255.37,264.12,116532
2015-07-01,264.12,265,254.41,257.62,66934
2015-07-02,257.62,261.29,253.09,254.88,45004
2015-07-03,254.88,256.71,252.44,255.4,36579
2015-07-04,255.4,261.08,253.37,260.55,32951
2015-07-05,260.55,274.14,257.61,270.14,48445
2015-07-06,270.14,277.48,266.46,269.08,90578
2015-07-07,269.08,271.34,263.21,266.21,41609
2015-07-08,266.21,273.57,263.18,268.64,45290
2015-07-09,268.64,272.31,265.13,269.14,48385
2015-07-10,269.14,297.85,266.91,283.62,117173
2015-07-11,283.62,298.76,282.28,291.97,46487
2015-07-12,291.97,315.88,291.26,310.44,120702
2015-07-13,310.44,310.88,276.85,290.35,146845
2015-07-14,290.35,296.96,285.17,286.96,60619
2015-07-15,286.96,292.92,283.17,283.42,59578
2015-07-16,283.42,290.84,273.28,276.59,121324
2015-07-17,276.59,280.76,271.17,279.62,62121
2015-07-18,279.62,282.53,243.24,274.05,55337
2015-07-19,274.05,277.07,271.85,273.18,30202
2015-07-20,273.18,278.85,271.82,277.68,46596
2015-07-21,277.68,281.05,274.19,275.09,49054
2015-07-22,275.09,277.39,273.12,276.46,41969
2015-07-23,276.46,277.85,274.47,275.52,35661
2015-07-24,275.52,289.81,274.26,288.37,74359
2015-07-25,288.37,291.24,284.67,288.74,41648
2015-07-26,288.74,293.28,286.77,291.77,30991
2015-07-27,291.77,295.79,285.4,293.01,69710
2015-07-28,293.01,296.68,291.67,293.7,49065
2015-07-29,293.7,294.72,286.89,288.37,50673
2015-07-30,288.37,289.89,284.91,287.02,44792
2015-07-31,287.02,288.69,280.77,283.73,49212
2015-08-01,283.73,284.53,276.3,280.47,39426
2015-08-02,280.47,282.5,275.93,281.36,35672
2015-08-03,281.36,285,278.94,281.58,45894
2015-08-04,281.58,285.66,279.58,284.3,44841
2015-08-05,284.3,285.45,280.53,281.72,38285
2015-08-06,281.72,281.98,276.46,278,33261
2015-08-07,278,279.6,274.28,277.89,42811
2015-08-08,277.89,278.92,257.42,258.6,82543
2015-08-09,258.6,266.75,258.56,263.87,57475
2015-08-10,263.87,266.63,260.52,263.3,48569
2015-08-11,263.3,269.9,261.44,269.03,51361
2015-08-12,269.03,271.5,263.66,267.66,56734
2015-08-13,267.66,268.39,261.28,263.44,56486
2015-08-14,263.44,267.22,260.21,265.03,52327
2015-08-15,265.03,266.55,259.38,260.52,38905
2015-08-16,260.52,261.92,254.57,257.12,69037
2015-08-17,257.12,259.93,252.87,257.13,47882
2015-08-18,257.13,257.53,245.74,246.72,94503
2015-08-19,246.72,247.95,214.29,226,245822
2015-08-20,226,238.03,225.54,234.66,90981
2015-08-21,234.66,236.3,230.48,232.4,57649
2015-08-22,232.4,235.07,221.04,229.54,74205
2015-08-23,229.54,232.7,224.27,226.75,48840
2015-08-24,226.75,228.43,207.82,211.43,196695
2015-08-25,211.43,226.55,196.26,220.51,190793
2015-08-26,220.51,230.69,218.79,224.97,92812
2015-08-27,224.97,228.44,222,222.73,60246
2015-08-28,222.73,234.81,219.6,231.64,90660
2015-08-29,231.64,233.09,226.35,228.5,43740
2015-08-30,228.5,232.32,225.44,228.4,39808
2015-08-31,228.4,231.79,224.2,229.47,54507
2015-09-01,229.47,231.45,225.76,227.18,66543
2015-09-02,227.18,230.59,225.57,228.63,58765
2015-09-03,228.63,229.62,225.36,226.2,54150
2015-09-04,226.2,231.06,225.75,230.25,61762
2015-09-05,230.25,235.61,228.29,233.67,48280
